"","item_name","group","subcategory","url","path","description","scrape_status"
"1","Antiquated Dress","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Antiquated+Dress","/Antiquated+Dress","""A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power. One cannot expect any physical protection from this garment, as it was not meant to be worn in battle.""","ok_blockquote"
"2","Armor of Artorias","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Armor+of+Artorias","/Armor+of+Artorias","Armor of Artorias the Abysswalker, one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory.""","ok_blockquote"
"3","Armor of Thorns","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Armor+of+Thorns","/Armor+of+Thorns","""Armor of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface. It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies.""","ok_blockquote"
"4","Armor of the Glorious","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Armor+of+the+Glorious","/Armor+of+the+Glorious","""Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall. The many medals are believed to symbolize glory.""","ok_blockquote"
"5","Armor of the Sun","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Armor+of+the+Sun","/Armor+of+the+Sun","""Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself. Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.""","ok_blockquote"
"6","Balder Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Balder+Armor","/Balder+Armor","Armor worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates. Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.""","ok_blockquote"
"7","Black Cleric Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Black+Cleric+Robe","/Black+Cleric+Robe","""Robe worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic.""","ok_blockquote"
"8","Black Iron Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Black+Iron+Armor","/Black+Iron+Armor","Armor of Black Iron Tarkus, a knight known for his great strength. Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.""","ok_blockquote"
"9","Black Knight Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Black+Knight+Armor","/Black+Knight+Armor","Armor of the Black Knight who haunt Lordran. The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.","ok_blockquote"
"10","Black Leather Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Black+Leather+Armor","/Black+Leather+Armor","""This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection.""","ok_blockquote"
